movie_id,similar_movie_1,similar_movie_2,similar_movie_3,similar_movie_4,similar_movie_5,similar_movie_6,similar_movie_7,similar_movie_8,similar_movie_9,similar_movie_10
3563,230,2204,107436,136012,55094,2295,26498,1234,41014,3640
156783,156781,129937,5735,118924,478,143559,2015,5621,279,74532
160438,92507,68597,91535,6003,96861,5187,93297,81229,149011,6530
3,3450,448,461,4228,113275,2395,135436,1696,130087,6789
161922,63479,98230,95949,55241,40581,343,2918,2172,7340,2469
164280,111732,27815,3261,715,5847,7932,3462,59018,202,61350
12,5649,2644,184,26429,7454,33294,5254,1329,168090,58078
18,133545,8532,1929,1923,3521,135861,30749,1955,417,4146
22,481,8236,1891,6290,88515,3445,7134,1991,8831,3849
40,44204,27801,31101,160440,917,31309,25827,85796,90353,3894
48,42418,167790,118814,942,412,8465,4313,3528,714,932
54,3155,8195,8518,81831,152270,48161,7937,73319,3969,3152
61,133802,2590,3794,106062,805,132660,199,3431,71899,80124
69,68932,4663,155892,3431,707,170399,2535,190,139717,3697
75,91622,7376,115170,8784,5447,7294,5955,94810,90531,62344
78,107723,3112,175485,89,133545,3686,5625,84952,67799,95761
86,6890,1493,1246,2172,142997,4936,6153,55241,93510,1968
152077,96935,715,8609,4928,92760,61350,8575,1483,30848,4436
152591,79553,2348,910,26237,6554,88593,1363,102088,7390,139052
155892,74916,2112,139717,2535,4663,707,6203,91784,3431,1137
174909,1804,2150,129937,101765,5146,6579,4205,6308,60735,134859
180265,3174,58299,35836,94122,344,41285,78499,87483,91869,1
182749,136469,128914,120813,183197,171695,163653,104644,8827,130970,86377
189713,7065,1006,31101,26612,886,143255,3374,6465,4387,3328
147,706,409,79134,55241,98230,69685,95949,193571,126548,3747
152,85179,185033,27008,132422,110603,139415,91079,7375,107412,70990
157,2700,8772,67997,5437,173941,89753,31522,141131,180031,2180
166,164917,6301,49286,148652,99636,48214,440,26472,96110,2204
173,2587,86028,55052,27329,134246,8044,6800,5903,96737,61024
175,106883,133832,7450,6732,32294,111817,639,113348,3598,4482
180,65585,7387,84374,4722,26700,50792,69069,161922,2614,80615
188,917,3042,148881,114627,26676,143245,577,3877,5591,143355
196,5704,78266,1097,6882,3326,184931,2034,64997,37380,1057
168632,6557,49347,181065,45728,1893,2859,8464,177185,94122,121374
206,1367,305,1079,6482,55241,98230,2133,95949,148632,145150
210,5372,1933,30818,6617,2103,25959,56949,5483,130976,99853
215,3855,2969,2262,8575,118814,8609,391,1175,43930,116985
219,2590,476,60,165075,1812,106062,31973,132660,133802,2546
165639,168026,6422,110102,26764,44020,3022,88140,5550,3365,104017
2504,7450,32294,639,91628,6367,111817,7932,3606,59018,5347
173205,6324,4482,54780,91628,7450,2174,55272,3598,639,5347
282,8463,2664,25827,848,2583,8911,61986,2917,134158,2656
285,55553,879,1748,186587,114060,1754,5312,648,100304,26554
296,95761,60293,131439,63768,3747,26169,5464,100304,27022,3328
302,43,1949,5039,161594,53121,3158,6201,81845,3719,171701
304,116985,3475,2111,8609,4235,5016,6631,82767,118814,1175
310,2037,1117,943,116977,4626,5828,164200,4077,121,3389
312,514,31692,86295,6324,5909,184,135534,6881,58315,8952
324,78264,2392,1526,679,61628,50802,107846,33499,4815,1807
329,5944,2393,1356,102445,2807,93134,25805,4750,4926,3042
330,155820,104837,148671,1447,7192,6687,3433,4064,55721,67186
333,99106,131578,106883,243,161582,2261,137595,281,5994,7781
340,96728,4814,111,5152,4353,53550,4577,4801,4008,31522
346,7336,48741,132496,363,6860,8481,2863,6235,4338,6415
352,167634,146986,706,49961,3078,89388,3296,1453,2357,55241
357,190207,5051,2975,3046,27266,56908,49347,342,50792,48032
360,62394,98243,3489,117851,111362,114180,508,5543,77364,110553
90057,110127,8609,7349,34048,715,100810,142074,4020,1175,8575
146656,2410,2411,2409,5531,49651,1954,2412,408,1147,57532
147374,514,539,7041,107449,142422,8607,189,91414,27584,6119
