movie_id,runtime,adult,genres,directors,keywords
3563,102,False,"Action, Horror",Bharat Nalluri,martial arts sibling relationship superhero supernatural crow based on comic sequel revenge vigilante tragic hero electric chair back from the dead sadist scar gothic urban setting death neo-noir urban gothic supernatural power vigilante justice good versus evil
156783,113,False,Comedy,Paul Wheeler,stand-up comedy
160438,123,False,Action,Paul Greengrass,"assassin cia amnesia casino chase greece flashback hacking las vegas black ops rogue agent armored vehicle reykjavík, iceland hdd"
3,101,False,"Comedy, Romance",Howard Deutch,fishing sequel old man best friend wedding italian restaurant old friends duringcreditsstinger pranks
161922,105,False,Comedy,Kelly Fremon Craig,"high school friendship sibling relationship portland, oregon coming of age teen angst loneliness teenage girl best friend dating woman director generation z"
164280,130,False,"Drama, Fantasy",Alejandro Jodorowsky,surrealism biography autobiographical gay theme
12,88,False,"Comedy, Horror",Mel Brooks,vampire spoof dracula
18,98,False,Comedy,Allison Anders Alexandre Rockwell Robert Rodriguez Quentin Tarantino,"hotel new year's eve witch bet sperm hotel room anthology los angeles, california hoodlum multiple storylines woman director"
22,124,False,"Crime, Drama, Horror, Mystery, Thriller",Jon Amiel,police brutality psychology police operation police protection psychologist serial killer cowardliness
40,106,False,Drama,Darrell James Roodt,based on novel or book south africa apartheid priest 1940s race relations
48,81,False,"Animation, Children, Drama, Musical, Romance",Mike Gabriel Eric Goldberg,"princess culture clash colony forbidden love musical gold rush native american colonisation virginia star crossed lovers intercultural relationship based on myths, legends or folklore 17th century shamanism animal sidekick"
61,101,False,"Drama, Thriller",John Schlesinger,rape gun self-defense rape and revenge grieving parents
69,91,False,Comedy,F. Gary Gray,"drug dealer rap music parent child relationship rapper male friendship urban life slacker pot smoking bully marijuana los angeles, california drugs"
75,90,False,"Comedy, Drama",Steve Miner,bully
78,111,False,"Action, Crime, Drama, Thriller",Sean Penn,loss of loved one hit-and-run revenge tragedy
86,129,False,"Action, Adventure, Drama",Ridley Scott,sailing trip sailing diary coming of age survival teenage boy discipline squall sail caribbean sea male bonding seasickness storm at sea 1960s
152077,104,False,Thriller,Dan Trachtenberg,kidnapping paranoia bunker basement survivalist apocalypse car accident captive
152591,105,False,Action,Wilson Yip,martial arts kung fu gangster biography hong kong wing chun 1950s
155892,97,False,Comedy,Max Landis,
174909,118,False,Comedy,Steven Soderbergh,sibling relationship north carolina cockroach heist race car driver nascar prison break
180265,94,False,Documentary,Chris Smith,filmmaking mentally unstable
182749,69,False,Comedy,Marcus Raboy,talk show stand-up comedy
189713,136,False,"Comedy, Crime, Drama",Spike Lee,based on novel or book ku klux klan 1970s black panther party biography based on true story undercover cop racism based on memoir or autobiography revisionist history white supremacy
147,102,False,Drama,Scott Kalvert,new york city sports heroin addiction basketball friends based on memoir or autobiography drugs 1960s school suspension gay theme teenager
152,82,False,"Drama, Horror",Abel Ferrara,new york city vampire philosophy addiction
157,91,False,"Comedy, War",Michael Moore,the white house political satire international relations war plan red
166,83,False,"Comedy, Crime, Drama",Gregg Araki,friendship california nazi nihilism eroticism blow job controversy punk rock surrealism severed head drifter on the road threesome shoplifting polyamory voyeur crystal meth
173,96,False,"Action, Crime, Sci-Fi",Danny Cannon,corruption judge dystopia superhero post-apocalyptic future villain trial based on comic cyberpunk police officer revenge motive justice based on graphic novel frame up law enforcement framed for murder gene prosthetic limb dna testing futuristic city action hero good versus evil
175,91,False,Drama,Larry Clark,puberty first time new york city drug abuse hiv shoplifting underage sex sexually transmitted disease shocking aggressive sleeping around complex critical disgusted
180,94,False,"Comedy, Romance",Kevin Smith,game show slacker shopping mall ex-boyfriend ex-girlfriend relationship silent man coke bandleader aftercreditsstinger
188,98,False,"Fantasy, Horror, Mystery",Gregory Widen,angel archangel gabriel
196,108,False,"Horror, Sci-Fi",Roger Donaldson,"genetics telepathy paranoia dna transformation instinct alien femme fatale decapitation on the run sexual attraction los angeles, california creature scientist sexual desire cocoon genetic engineering interspecies romance alien dna"
168632,77,False,Comedy,Jay Karas,stand-up comedy
206,73,False,Documentary,Douglas Keeve,fashion
210,98,False,Western,Walter Hill,loss of eyesight opium biography sioux wild bill hickok calamity jane
215,101,False,"Drama, Romance",Richard Linklater,"sunrise talking soulmates walking austria vienna, austria romantic"
219,97,False,Drama,Peter Horton,aids mississippi river minnesota male friendship hiv sick child
165639,3,False,"Comedy, Fantasy, Sci-Fi",Taika Waititi,superhero based on comic mockumentary norse mythology marvel cinematic universe (mcu) short film
2504,101,False,"Comedy, Drama",Risa Bramon Garcia,"new year's eve relationship manhattan, new york city woman director"
173205,112,False,Comedy,Noah Baumbach,"new york city narcissism dysfunctional family manhattan, new york city sculptor father son relationship father daughter relationship"
282,112,False,Drama,Michael Apted,lake loss of loved one twin sister autism kaspar-hauser-syndrom feral child forest north carolina psychologist family
285,89,False,"Drama, Horror",Vadim Jean,suicide experiment detective hallucination scientist drugs killer
296,154,False,"Comedy, Crime, Drama, Thriller",Quentin Tarantino,"drug dealer boxer massage stolen money briefcase crime boss redemption heirloom dance competition los angeles, california theft nonlinear timeline multiple storylines neo-noir hilarious"
302,138,False,"Drama, Romance",Patrice Chéreau,"paris, france based on novel or book marriage of convenience royalty conspiracy palace intrigue 16th century religious persecution st. bartholomew's day massacre french history"
304,108,False,"Comedy, Drama",Peter Yates,funeral grandparent grandchild relationship birthday roommate vegetarian orphan based on short story deathbed
310,85,False,Comedy,Fred Gerber,
312,95,False,Comedy,Harold Ramis,dysfunctional family public access
324,100,False,"Comedy, Drama",Kevin Dowling Geoff Burton,"sydney, australia australia based on play or musical breaking the fourth wall father son relationship gay theme"
329,117,False,"Adventure, Drama, Sci-Fi",David Carson,android spacecraft teleportation starship loss of loved one death space opera exploding planet mountain cabin solar system cosmos spanning generations legendary hero spaceship crash outer space emotional instability generazioni
330,98,False,"Action, Crime, Horror",Rusty Cundieff,prison child abuse police brutality ku klux klan ghetto anthology evil doll murder hood dirty cop funeral home
333,98,False,Comedy,Peter Segal,road trip buddy
340,126,False,"Adventure, Drama, War",Jon Avnet,vietnam veteran bullying child
346,100,False,"Drama, Musical",Iain Softley,"guitar red-light district stuart sutcliffe boyfriend girlfriend relationship river elbe body painting hamburg, germany photo reeperbahn"
352,115,False,"Comedy, Drama",Spike Lee,"black people 1970s jazz singer or musician dysfunctional family teacher urban parenthood brooklyn, new york city semi autobiographical street kid"
357,117,False,"Comedy, Romance",Mike Newell,friendship marriage proposal love of one's life england wedding vows funeral upper class love at first sight yuppie marriage lone wolf snob witness bride bridegroom bridesmaid clumsy fellow fear of commitment unrequited love wedding thirty something group of friends best man rich man commitment issues
360,123,False,"Action, Comedy",Charles Shyer,newspaper romantic comedy adversary rivalry reporter urban setting opposites attract experience
90057,120,False,Drama,Jeff Nichols,small town beach schizophrenia nightmare obsession deaf ohio shelter end of the world premonition sanity apocalypse storm mental illness construction worker bank loan storm shelter apocalyptic vision
146656,133,False,Drama,Ryan Coogler,underdog mexico sports mentor trainer cancer spin off underground fighting boxing trainer motivational speaker boxing legacy boxing manager boxing champion famous brand famous actor
147374,59,False,"Adventure, Drama",Farren Blackburn,
148667,62,False,Comedy,Rhys Thomas,stand-up comedy
436,121,False,"Drama, Thriller",Richard Rush,california therapist secret identity paranoia eroticism group therapy grief obsessive compulsive disorder psychiatrist disguise mental illness color blindness voyeurism
450,103,False,"Comedy, Drama",Alek Keshishian,homeless person law school bum harvard law school college student
457,131,False,Thriller,Andrew Davis,"chicago, illinois escape chase doomed man surgeon death sentence u.s. marshal flashback remake betrayal fugitive on the run conspiracy police corruption doctor home invasion disguise one armed man framed for murder action hero manhunt"
461,83,False,"Drama, Romance",Rose Troche,lesbian relationship male homosexuality lgbt woman director
471,111,False,Comedy,Joel Coen Ethan Coen,new york city journalist suicide plan corruption undercover inventor boss investigation industry money screwball comedy board stocks 1950s hula hoop
476,110,False,"Comedy, Drama",Matty Rich,
149830,108,False,"Comedy, Horror, Romance, Thriller",Burr Steers,based on novel or book dystopia shaolin prejudice zombie pride gold digger 19th century georgian or regency era parson mashup
421,88,False,"Adventure, Children, Drama",Caroline Thompson,horse country life woman director
9,110,False,Action,Peter Hyams,"explosive hostage ice hockey terrorism vice president pittsburgh, pennsylvania pittsburgh penguins"
410,94,False,"Children, Comedy, Fantasy",Barry Sonnenfeld,dancing jealousy baby sibling relationship summer camp yuppie butler nanny thanksgiving guillotine uncle mansion wedding macabre disembodied hand anxious
486,91,False,Comedy,James Lapine,new york city casting agent tv commercial child star precocious child talent agent christmas
412,139,False,Drama,Martin Scorsese,infidelity new york city based on novel or book upper class lover countess lawyer 19th century
423,121,False,"Action, Thriller",Stephen Hopkins,"concert computer boston, massachusetts fireworks orchestra anarchist flashback revenge terrorism wedding explosion roulette wheel capsized ship belfast, north ireland bomb planting headphones bomb attack action hero blast human bomb"
479,109,False,"Action, Crime, Thriller",Stephen Hopkins,"drug dealer chicago, illinois escape one night boxing"
413,92,False,Comedy,Michael Lehmann,radio station heavy metal rock band
429,80,False,Comedy,Adam Resnick,
440,110,False,"Comedy, Romance",Ivan Reitman,coma usa president the white house apoplectic stroke doppelgänger corgi
548,102,False,"Action, Mystery, Thriller",Deran Sarafian,parachuting ladykiller kgb sprung paraquedismo
562,88,False,"Comedy, Drama",Todd Solondz,sibling relationship new jersey parent child relationship mockery ugliness dark comedy bullying coming of age misfit little girl suburb junior high school school life
575,82,False,"Children, Comedy",Penelope Spheeris,friendship shenanigan group of friends woman director
577,94,False,"Adventure, Children, Drama",George T. Miller,seal (animal)
585,89,False,Comedy,Betty Thomas,supermarket house woman director
590,181,False,"Adventure, Drama, Western",Kevin Costner,"friendship mutiny countryside based on novel or book unsociability wolf culture clash self-discovery freedom desertion language barrier dakota buffalo native american kansas, usa sioux tennessee snow pawnee tribe 19th century lakota bison early america"
597,119,False,"Comedy, Romance",Garry Marshall,"hotel friendship prostitute sports car capitalism expensive restaurant workaholic fire escape los angeles, california beverly hills piano bubble bath romantic"
610,90,False,"Action, Adventure, Animation, Horror, Sci-Fi",Gerald Potterton,flying car taxi midnight movie heavy metal based on comic drug use rotoscoping adult animation
611,86,False,"Action, Horror, Sci-Fi",Kevin Yagher Alan Smithee,artificial intelligence (a.i.) hell engineer pinhead demon puzzle box cenobite artificial
618,118,False,"Comedy, Romance",Fernando Trueba,secret identity painter gallery owner engagement con artist art gallery ex-husband ex-wife relationship engagement ring reluctant hero shenanigans sister sister relationship fake twins farce
634,92,False,Comedy,Jonathan R. Betuel,cyborg detective mad scientist cop dinosaur murder investigation
