movie_id,genres,runtime,adult
3563,"Action, Horror",102,False
156783,Comedy,113,False
160438,Action,123,False
3,"Comedy, Romance",101,False
161922,Comedy,105,False
164280,"Drama, Fantasy",130,False
12,"Comedy, Horror",88,False
18,Comedy,98,False
22,"Crime, Drama, Horror, Mystery, Thriller",124,False
40,Drama,106,False
48,"Animation, Children, Drama, Musical, Romance",81,False
61,"Drama, Thriller",101,False
69,Comedy,91,False
75,"Comedy, Drama",90,False
78,"Action, Crime, Drama, Thriller",111,False
86,"Action, Adventure, Drama",129,False
152077,Thriller,104,False
152591,Action,105,False
155892,Comedy,97,False
174909,Comedy,118,False
180265,Documentary,94,False
182749,Comedy,69,False
189713,"Comedy, Crime, Drama",136,False
147,Drama,102,False
152,"Drama, Horror",82,False
157,"Comedy, War",91,False
166,"Comedy, Crime, Drama",83,False
173,"Action, Crime, Sci-Fi",96,False
175,Drama,91,False
180,"Comedy, Romance",94,False
188,"Fantasy, Horror, Mystery",98,False
196,"Horror, Sci-Fi",108,False
168632,Comedy,77,False
206,Documentary,73,False
210,Western,98,False
215,"Drama, Romance",101,False
219,Drama,97,False
165639,"Comedy, Fantasy, Sci-Fi",3,False
2504,"Comedy, Drama",101,False
173205,Comedy,112,False
282,Drama,112,False
285,"Drama, Horror",89,False
296,"Comedy, Crime, Drama, Thriller",154,False
302,"Drama, Romance",138,False
304,"Comedy, Drama",108,False
310,Comedy,85,False
312,Comedy,95,False
324,"Comedy, Drama",100,False
329,"Adventure, Drama, Sci-Fi",117,False
330,"Action, Crime, Horror",98,False
333,Comedy,98,False
340,"Adventure, Drama, War",126,False
346,"Drama, Musical",100,False
352,"Comedy, Drama",115,False
357,"Comedy, Romance",117,False
360,"Action, Comedy",123,False
90057,Drama,120,False
146656,Drama,133,False
147374,"Adventure, Drama",59,False
148667,Comedy,62,False
436,"Drama, Thriller",121,False
450,"Comedy, Drama",103,False
457,Thriller,131,False
461,"Drama, Romance",83,False
471,Comedy,111,False
476,"Comedy, Drama",110,False
149830,"Comedy, Horror, Romance, Thriller",108,False
421,"Adventure, Children, Drama",88,False
9,Action,110,False
410,"Children, Comedy, Fantasy",94,False
486,Comedy,91,False
412,Drama,139,False
423,"Action, Thriller",121,False
479,"Action, Crime, Thriller",109,False
413,Comedy,92,False
429,Comedy,80,False
440,"Comedy, Romance",110,False
548,"Action, Mystery, Thriller",102,False
562,"Comedy, Drama",88,False
575,"Children, Comedy",82,False
577,"Adventure, Children, Drama",94,False
585,Comedy,89,False
590,"Adventure, Drama, Western",181,False
597,"Comedy, Romance",119,False
610,"Action, Adventure, Animation, Horror, Sci-Fi",90,False
611,"Action, Horror, Sci-Fi",86,False
618,"Comedy, Romance",118,False
634,Comedy,92,False
639,"Comedy, Drama",108,False
649,"Comedy, Drama",85,False
661,"Adventure, Animation, Children, Fantasy, Musical",79,False
154975,"Comedy, Documentary",84,False
155288,"Drama, Thriller, War",102,False
544,"Action, Crime",102,False
555,"Crime, Thriller",120,False
832,"Crime, Thriller",121,False
849,"Action, Adventure, Sci-Fi, Thriller",100,False
879,"Horror, Thriller",110,False
885,"Children, Drama, Fantasy",110,False
892,"Comedy, Drama, Romance",134,False
898,"Comedy, Drama, Romance",113,False
906,"Drama, Thriller",114,False
912,"Drama, Romance",102,False
917,"Children, Drama",93,False
920,"Drama, Romance, War",233,False
3070,"Adventure, Comedy, Sci-Fi",103,False
839,"Action, Thriller",94,False
773,Drama,91,False
779,"Drama, Romance",113,False
800,"Drama, Mystery, Western",135,False
818,Comedy,90,False
803,"Comedy, Drama, Romance",86,False
903,"Drama, Mystery, Romance, Thriller",129,False
979,"Drama, War",83,False
991,Drama,132,False
998,"Action, Crime",123,False
1010,"Children, Comedy",107,False
1014,"Children, Comedy, Drama",134,False
1016,"Children, Comedy",104,False
1024,"Animation, Children, Musical",71,False
1028,"Children, Comedy, Fantasy, Musical",139,False
1035,"Musical, Romance",174,False
1037,"Action, Horror, Sci-Fi, Thriller",108,False
1046,"Drama, Romance",92,False
1057,"Comedy, Musical, Romance",101,False
1060,"Comedy, Drama",96,False
1068,"Crime, Film-Noir",86,False
1078,"Comedy, War",82,False
1084,"Crime, Drama",111,False
8755,Documentary,246,False
955,"Comedy, Romance",102,False
968,"Horror, Sci-Fi, Thriller",96,False
970,"Adventure, Comedy, Crime, Drama, Romance",95,False
1186,Drama,101,False
1189,Documentary,103,False
1197,"Action, Adventure, Comedy, Fantasy, Romance",99,False
1204,"Adventure, Drama, War",228,False
1210,"Action, Adventure, Sci-Fi",132,False
1215,"Action, Adventure, Comedy, Fantasy, Horror",81,False
1219,"Crime, Horror",109,False
1224,"Action, Drama, Romance, War",137,False
1228,Drama,129,False
1236,"Comedy, Drama, Romance",107,False
1116,Drama,90,False
1130,"Horror, Mystery",91,False
1137,Romance,79,False
1148,"Animation, Children, Comedy, Crime",30,False
1163,Drama,128,False
1173,"Comedy, Drama",124,False
1177,"Drama, Romance",89,False
1279,"Comedy, Drama",128,False
1281,"Comedy, Drama, War",125,False
1287,"Action, Adventure, Drama",212,False
1300,"Comedy, Drama",102,False
1307,"Comedy, Romance",96,False
